Name,Organization,Project
Anastasia Neklepaeva,Tarantool,Various SQL VM improvements: threaded interpretation and instruction merging
sp35,The Honeynet Project,IntelOwl Connectors Manager and Integrations
Crane yang,ScummVM,Macromedia Director
Jingchen YE,mypy,Speeding up string operations
parth-07,CERN-HSF,Add support for functor objects in clad
Peddi Sai Varshith,caMicroscope,Integrate an optical microscope with a camera and motorized stage - Collaboration with FDA
Xin Yue Chen,Internet Archive,Turn All References Blue
lusceu,The Honeynet Project,Implementing DDiMon for Windows and Linux using Bareflank
jasondk,MetaBrainz Foundation Inc,Pin Tracks & Review Tracks Through CritiqueBrainz
Roberto Rosmaninho,Python Software Foundation,LLVM Back-end for the Tensor Algebra Compiler (TACO)
Pokemod97,TianoCore,Terminal Driver Improvements
michaeokoko,MariaDB Foundation,Use JSON as on-disk format for Histograms
Meet Bhatnagar,The R Project for Statistical Computing,R Conference Events Explorer
Anjani Kumar,KDE Community,Port digiKam to Qt6 on Linux
Magali Lemes,The Linux Foundation,Improving statistics from kw
earthshakira,Polypheny,Query the Blockchain
adi10hero,Continuous Delivery Foundation,Semantic Versioning Plugin for Jenkins
Aditya-Dubey,Oppia Foundation,Move custom JS\TS lint checks to eslint
Anand Kumar,openastronomy,Automatic Lineshape Engine
suraj kulriya,The Linux Foundation,Make All Filter Functions Work Well Even Without PPD Files
Ida Delphine,RTEMS Project,Code Formatting and Style Check for RTEMS SuperCore (score)
Alexandros Manochis,GeomScale,High dimensional geometric computations with least matrix inequalities
Zhipeng Zhao,DBpedia,Social Knowledge Graph: Employing SNA measures to Knowledge Graph
Riken Shah,Zulip,Removing Unused CSS & Working On Developer Tooling Area
Pritam Saha,National Resource for Network Biology (NRNB),Develop a Cytoscape App for the Casual Path Algorithm
Yash Patel,The Terasology Foundation,Migrate Web Presence to new Module Site
Matvey Luboshnikov,Synfig,Replacement of deprecated GTK classes
Michal Klein,The LLVM Compiler Infrastructure,Using machine learning to seed LLVM’s attributor pass
Gaurav Genani,Cilium,Expose Cilium Config to CLI Tool
Pratik Baid,CCExtractor Development,Flood Mobile App
Hrithik Kumar,Haiku,Coding style checker bot for Gerrit
Kacper Kujawski,RoboComp,Webots integration
Harsh Mishra,AOSSIE,Improving User Experience Of Frontend and Enabling User Personalisation
Rakshita Varadarajan,CERN-HSF,New protocols for exascale data management with Rucio
Srikar Reddy Jilugu,TensorFlow,Converting ML Matlab Examples to Python using JAX
Svea Marie Meyer,INCF,Project 9.5: Classification using EEG
Priyanshu Jain,Kodi,Finish the new web interface
ThenoobMario,gprMax,Implementing GPU Accelerated Sub-gridding
Tejasvi Gupta,The R Project for Statistical Computing,Interactive Graphics for ChemoSpec
Anshu Khare,LibreOffice,Sidebar Task
Anshuman Singh,DeepPavlov,Refactor Multi-Task BERT
Amish Garg,TensorFlow,TensorFlow Lite Flutter Support Suite Enhancements
Diptanshu Mittal,INCF,A Django Platform for comparing scientific methods for analyzing neural time series analysis methods
Xinyu Zhou,Casbin,Refactor Casbin.js and other optimizations on pycasbin and node-casbin
mikit,SPDX,Faster and Accurate License Matcher
Harsh Bardhan Mishra,MetaCall,Development of Jupyter Kernel for MetaCall Core
Hongli Zhao,SageMath,SageMath: Efficient Tensor Calculus Backend and Numerical Tensor Arithmetics via Tensor-Train
Ahmat Hamdan,CERN-HSF,Inference Code Generation for Recurrent Neural Networks
Adrij Shikhar,SCoRe Lab,SenZ Project Proposal
Hyeongyu Kim,The LLVM Compiler Infrastructure,Fix miscompilation issues in LLVM IR using the ‘Freeze’ instruction
Siddharth Saha,JdeRobot - Universidad Rey Juan Carlos,ROS2-RADI and Single Robot Amazon warehouse exercise in web-based template
Anais Gonzalez,Processing Foundation,Improving the p5.xr Library Through Artistic Examples
Diego Porras,OWASP Foundation,SKF support for interactive vulnerability fixing.
Yifan Wang,TensorFlow,Project Proposals for TF Core and Model Garden
Konstantin Sidorov,The LLVM Compiler Infrastructure,Improving OpenMP code generation with prediction of runtime parameters
Tirth Patel,Python Software Foundation,[SciPy] Integrate library UNU.RAN into scipy.stats
Varun Jain,The Apache Software Foundation,Functional Enahancements To Fineract CN Mobile Application
Yash Prakash,CHAOSS Project,Automate Metrics Release and Process Improvement
Diego Urgell,The R Project for Statistical Computing,Binary Segmentation Package
Shashwat Dalakoti,JdeRobot - Universidad Rey Juan Carlos,Exercise using Deep Learning for Visual Detection
Anaswara T Rajan,CERN-HSF,SWAN support in oCIS
Jayesh Desai,DBpedia,Modular DBpedia Chatbot
Chetan Karwa,Fortran-lang,Linked List in stdlib of Fortran-lang
Rohan Mallick,caMicroscope,Smart Pens
Tarindu Jayatilaka,The LLVM Compiler Infrastructure,Machine Learning Guided Ordering of Compiler Optimization Passes
Ashutosh Kumar-1,DBpedia,DBpedia Live Neural Question Answering Chatbot - GSoC2021
Fawzi E. Abdulfattah,Python Software Foundation,Enhancing the EOS-icons [Backend]
Anushka Chakraborty,Google FHIR SDK,Feature Implemetation and Ui Development of Android FHIR
warmachine86,GeomScale,GeomScale: Monte Carlo Integration
Martin Gius,Haskell.org,TidalCycles API and editor plugin
Manjot Sidhu,CircuitVerse.org,Interactive Book Integration for Mobile App
Aditya R Rudra,INCF,Improving Test Coverage and Implementing CI/CD in BrainBox
Shubhaditya Burela,MBDyn,Implementing an Unsteady Vortex-Lattice aerodynamic element
Sourabha G,Sugar Labs,Improve and maintain 15 Sugar activities
CaitlinHaedrich,OSGeo - Open Source Geospatial Foundation,Improved Integration of GRASS GIS and Jupyter Notebooks
Aitik Gupta,NumFOCUS,Matplotlib: Revisiting Text/Font Handling
Angelina Panagopoulou,The R Project for Statistical Computing,matrixStats: Consistent Support for Names Attributes
Aakash Hemadri,The Linux Foundation,Analysis and fixing of race condition warnings in the Linux kernel
Tim Reichelt,The Julia Language,GPU Support for AdvancedHMC.jl
George Dialektakis,CERN-HSF,Deep autoencoders for ATLAS data compression
Ilya Zarubin,The R Project for Statistical Computing,RcppSMC - support for modern Monte Carlo methods
Marc Prat Masó,Open Chemistry,Tools for visualization and efficient editing
Amey Varhade,Machine Learning for Science (ML4SCI) Umbrella Organization,Machine Learning for Turbulent Fluid Dynamics
pingport80,Metasploit,Improving Post-Exploitation API
shashwat,LibreHealth,Create web components for FHIR Resources
Nikolaos Kokkinis,GFOSS - Open Technology Alliance,DeepbotsZero
Divyam Singal,Boost C++ Libraries,Boost.Real: Modifying internal representation of operation and improving math functions
Saurav Shrivastav,PostgreSQL,Improve pgeu-system for Conference Management
MUGILRAJ DHAVACHELVAN,The Linux Foundation,IIO Driver: AD4695 ADC
Tushar Guha Neogi,Bench-Routes,GSOC Proposal 2021 Bench-Routes
Oliver Madine,Haskell.org,Haskell Language Server: Symbol Renaming
Sugam Srivastava,The NetBSD Foundation,ZFS root support(bootloader and mount_root)
aley,TensorFlow,Tensorflow Proposal
Dimitrios Iatrakis,Plan 9 Foundation,Add support for OAuth2 Login (i.e. OpenID Connect) authentication to factotum
Antonin Jolivat,OpenStreetMap,QA Reports Extraction Tool
Punit Lodha,CCExtractor Development,Rewrite 708 decoder in Rust
Shreyaa Sharma,Ceph,Reporting Ceph issues from the Ceph-Dashboard
Pranjal Singh,The Honeynet Project,Fuzzing Xen with Xen
Sang Truong,The R Project for Statistical Computing,Refactoring of hyperSpec R Package
Chinmay Vibhute,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",A Testing Framework for Niffler DICOM frameworks for Continuous Integration
Vladyslav Hnatiuk,Matrix.org,PyQuotient
Lucas Wang,KDE Community,Framework update and rewrite of the KDE Connect iOS Application
Arib Alam,TARDIS SN,Tardis Setups Framework
Vishnu Madhav,GNU Compiler Collection (GCC),Make Cp-demangler non recursive
Pranshu Kharkwal,The Linux Foundation,Create a single universal CUPS filter to replace the chain of individual filters
Kaustubh Chaudhari,NumFOCUS,New Version Refactoring
Rohit Sutradhar,OpenCV,Tutorial for Universal Intrinsics and parallel_for_ for efficient cross-platform algorithm implementation
Khushal Uttam,International Catrobat Association,Kotlin Refactoring and MVVM Implementation
Quanwen Chen,GNU Mailman Project,List Configuration Tool
Shayan Majumder,LibreCube Initiative,CCSDS File Delivery Protocol in MicroPython
pruhnuhv,RTEMS Project,Improving the Raspberry Pi BSP
Lahiru Udayanga De Silva,JBoss Community,3scale - Envoy proxy authorization cache
Rafael Badell,AerospaceResearch.net,Implementation of sensor and actuator models in Cubesat Simulator
Valentin Boettcher,KDE Community,KStars DSO Overhaul
Naveen Sai,SymPy,Rational Solutions of Riccati ODEs
Nolan Windham,Internet Archive,Open Book Genome Project
Shiyu Liu,Android Graphics Tools Team,Diversity transformation class space and implement Coverage-guided mutation-based fuzzing for WebGPU
leachim,The Julia Language,Improving Turing’s documentation and tutorials
Niteesh Babu G S,QEMU,"Interactive, asynchronous QEMU Machine Protocol (QMP) text user interface (TUI)"
Egor Zverev,MapAction,Extend Data Pipelines to cover more data products
Yami Dancho,The R Project for Statistical Computing,GSoC 2021 Proposal Productionizing bddashboard
Flynn,Debian,A Privacy-Respecting Email Service for Personal Servers
Ishan Vatsaraj,INCF,TVB for Jupyter and Collaboratory
Daniel Ko,Continuous Delivery Foundation,try.spinnaker.io
mmalenic,Global Alliance for Genomics and Health,Pure Rust Htsget Implementation
Phuoc-Khanh LE,KDE Community,digiKam Image Quality Sorter algorithms improvement
Sylwia Majchrowska,gprMax,Modelling complex materials electromagnetic properties in gprMax software
Aryan Verma,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",CovCT: Development of an AI-based Android Application for distinguishing COVID-19 and Pneumonia using Computed Tomography Images and generate reports for analysis
Paula Marin,Liquid Galaxy project,SatNOGS Network data visualizer for Liquid Galaxy
Anuradha Pandey,Apertium,Adopt an unreleased language pair
Prakhar Saxena,SymPy,Continuum Mechanics: Creating a Rich Beam Solver and Extending Continuum Mechanics Module
Esandha Vithanage,SCoRe Lab,S-ChainX: Product Hunter
Suraj Kumar Mahto,KDE Community,KMyMoney : Integration of the new functionalities from the Alkimia library
Aman Gupta,International Catrobat Association,Awesome Demo Game Project : King Of Batona
Aleksei Dorkin,FrameNet Brasil (UFJF),Automatic Qualia Extraction and Annotation Tools
Cédric Dollet,NumFOCUS,Colour-Science for python
Akash Saini,Global Alliance for Genomics and Health,Brokering Continuous Delivery through the ELIXIR Cloud service registry
Priyanshu_Agarwal,NumFOCUS,PyBaMM - Printing formatted equations (Priyanshu Agarwal)
Dmitry Volodin,Orcasound,25 Dmitry Volodin Github Action Workflows for Scheduled Algorithm Deployment
jrybak,Machine Learning for Science (ML4SCI) Umbrella Organization,Dimensionality Reduction for Studying Diffuse Circumgalactic Medium
Vedant Nandoskar,caMicroscope,Real Time Collaborative Pathology
Raghav Bhatia,Postman,Newman request
Priyank Patel,Zulip,TypeScript Migration
Shiven Tripathi,INCF,Analyzing stimulus prediction capabilities of neurons: predictive information estimation methods
Jenny Yu,TARDIS SN,Custom Abundance Widget
Yash Pandey,Casbin,"Benchmarking, Python bindings and Migrating to CTest for Casbin-CPP"
Linda Kladivova,OSGeo - Open Source Geospatial Foundation,First steps towards a new GRASS GIS Single-Window GUI
Namit Chandwani,JBoss Community,Develop a Golang-based framework to enhance Knative’s functionalities
giulio,Qubes OS,Simplified external port forwarding and automatic NAT traversal
Kannav Krishan Mehta,Boost C++ Libraries,Finalizing and improving the subtensor type
Simon Thor,CERN-HSF,Enhancing the Plotting Functionality in MCnet/Rivet
Vladislav Kakurin,MariaDB Foundation,Non-blocking multi-thread IO_CACHE
Adam Jensen,NumFOCUS,Making pvlib python a one-stop source for solar resource data
Artemis Georgopoulou,GFOSS - Open Technology Alliance,sch-webapps: aggregator for web-based educational material
Zhengkun Chen,GNSS-SDR,Google summer of code 2021 Application
Sahan Dissanayaka,SCoRe Lab,ImageLab - extend the functionality
Ji Ho Kang,The Apache Software Foundation,Nemo Optimization by WAN Hierarchical Aggregation and Fidelity Control
acmcmc,Django Software Foundation,New database search backend
Sahil Grewal,Wikimedia Foundation,Upgrade WebdriverIO to the latest version 7 for all repositories
Aakash Kaushik,mlpack,Ready to use Models in mlpack
Paritosh Singh,Project WikiLoop,Improving Google Search Result On Buddhist Entities.
Saurabh Gupta-1,Sugar Labs,Sugarizer Story Activity
Artur Tomczak,BRL-CAD,Add IDS validation with BCF output to IfcOpenShell
Garv Tambi,RoboComp,Computer vision for detecting elements of a vehicle’s environment with RoboComp
Prashant Dodiya,coala,Microfarm For Everybody
alexrockhill,Python Software Foundation,mne-python intracranial electrode localization toolbox
Alejandra Cossío,Pharo Consortium,Refining Code Critics
thhagelmayer,SageMath,dd support for error terms with explicit constants to AsymptoticRing
Abdallah Ahmed,Joplin,BibTeX Plugin Project
Hemansh Khaneja,caMicroscope,Cross-Slide Coordinated Viewing
Archana Warrier,The Julia Language,GSoC Proposal - Causal and counterfactual methods for fairness in machine learning
Balaji G,Pharo Consortium,DataFrame
Gabriela Bittencourt,Purr Data,Improving workflow with autocomplete feature
Theo Way,Godot Engine,"Auto-Arrangement of Nodes in GraphEdit, VisualScript and VisualShaders"
Bhavna Kosta,The Linux Foundation,Firmware and other file handling in PAPPL
Miranda Ren,Digital Impact Alliance (DIAL) at UN Foundation,Enhance Project Repository and WebApp of Catalog of Digital Solutions
Yusuf Karadag,The Apache Software Foundation,Application Proposal for Apache Clerezza
Wenzhang Yang,GNU Compiler Collection (GCC),Static analysis for unreachable functions
Karan Kharecha,DBpedia,User Centric Knowledge Engineering and Data Visualization
Guanglin Huang,The R Project for Statistical Computing,Factor analysis based on higher-order moments
Jiyeon Lee,MediaPipe,Inference Latency Estimator with Ensemble of Regression Models
Akanksha Garg,AboutCode,Detect Unknown Licenses and Indirect License references in ScanCode
Hardik Katehara,Oppia Foundation,Make backend code typed
Rishabh kohale,Open Genome Informatics,Interactive viewer for systems-biology variant interpretation (Server-side)
Meenal Jhajharia,NumFOCUS,Extending Time-Series Models
Srihari Humbarwadi,TensorFlow,Implementing State of the Art Object Detection Models for Tensorflow Model Garden
EasonC13,Accord Project,Automatic Identification And Classification of Contract Data Types with NLP
Sarthak Bhardwaj-1,FreeType,Re: Develop a test framework for checking FreeType's rendering output
Ruturaj Mohite,CircuitVerse.org,Refactoring Testbench and Automated Testing
Martynas Jočys,The R Project for Statistical Computing,Evolving bdchecks: a biodiversity data quality checks framework
Kumar Shivendu,Software Heritage,Improve the Archive Search
Akshansh Bhatt,SymPy,Improving and Expanding Functionalities in Control Module
Juan Elias Rodriguez,Python Software Foundation,Proposal by Juan Elias for OpenLex PyAr
Zeping Bai,The Apache Software Foundation,Enhanced authentication for APISIX Dashboard
Sanjay Singh Rajpoot,Processing Foundation,Hindi Translation for P5.js website
Pavindu Lakshan,The Apache Software Foundation,Apache OODT - Improving OPSUI React.js UI with Advanced Functionalities
Sai karthikeya,52°North GmbH,Bug fixing & Improving User Interface in enviroCar Android
Siddhartha Jejurkar,Blender Foundation,Blender proposal - UV editor improvements
Larry Dong,NumFOCUS,pymc3.dp: Bayesian Stati-sticks for Summer 2021
Fikri Milano,Google FHIR SDK,Android FHIR Client as The Standard Implementation of Android FHIR SDK
Nathan Wood,Open Chemistry,Improving GOpt Visualization be Implementing Avogadro as an Alternative to Visualizing Molecular  Dynamics
CodeChamp_SS,International Catrobat Association,Pocket Code for Android: Refactoring and Rewriting Production Code and Tests to Kotlin
Sanket Shevkar,Accord Project,Signing Template and Signing Contracts
Niki Ito,Processing Foundation,Activism Through Storytelling with Code
BHAVESH SHARMA,LibreHealth,Develop an Android mobile application for newborn clinical decision support
Utsav Akhaury,gprMax,Automatic Realization of AI-Based Electromagnetic Models
Balaje,NumFOCUS,A fast finite element interpolator in Gridap.jl
Bartłomiej Rasztabiga,OpenMRS,The REST of Administration
Jatin Sharma,TensorFlow,Community datasets in TFDS
Ainhoa Maestro,Liquid Galaxy project,VISIT THE WORLD HOME EDITION
Aryaman Gupta,Oppia Foundation,Improve Exploration save flow: Syncing edits in the background
Micah Kendall,LabLua,A Lua library for Freechains-P2P
July541,Haskell.org,Implement missing refactoring in Haskell Language Server
Kumar Saurabh Raj,Sugar Labs,"MusicBlocks v4: Friendly, Intuitive, Fast"
Shridhar Goel,AnkiDroid,Development of AnkiDroid project
Donald Lee,FRRouting,Lua hook points
Shriyanshu Kukreti,International Catrobat Association,Awesome Demo Game Project - Sisters of the Faldroid
GUIFO FODJO A Yvan,Pharo Consortium,Matrix state of the art
Metehan Arslan,VideoLAN,Advanced Audio Filters
Akshit,The ns-3 Network Simulator Project,Add logging support to Simulation Execution Manager (SEM)
Daniil Ignatiev,Apertium,A morphological analyzer for Bagvalal
Hồng Quân Trần,The Apache Software Foundation,Apache James - Implement Thread support for JMAP
Roshan Swain,mlpack,Example Zoo
Hang Yan,Point Cloud Library,Enable CUDA builds on CI
Manorit Chawdhry,The Honeynet Project,Implementing Linux support in Drakvuf-Sandbox
Daniel Swanson,Apertium,Unipertium
moki1202,PEcAn Project,PEcAn in CRAN
btut,JabRef e.V.,Improve pdf support in JabRef
Katie Liu,Processing Foundation,Adding Alt Text
Pranav Ballaney,National Resource for Network Biology (NRNB),SBML Simulator in Rust
Geraldine Galindo,Pharo Consortium,Code Completion in Pharo
Anubhab Das,CERN-HSF,"Logging, Unit Test Infrastructure and Precooked Sources for PRMON"
Shyam,SCoRe Lab,Service Market
Adam Leung,VideoLAN,VLC Qt interface redesign
Fahad Israr,JBoss Community,Project Starfix : Open anything anywhere in any IDE/editor
Cyrine Gamoudi,GitLab,Port SAST and Secret Detection rails platform code to GitLab CE project
Apoorva Agarwal-1,Cuneiform Digital Library Initiative (CDLI),Journals Open Review Workflow and Integration
Manuel Genovés,GNOME Foundation,Libadwaita animation API
Ming Liang Ang,TensorFlow,Convert Matlab ML examples to Python / JAX
orion cohen,MDAnalysis,A Solvation Module for MDAnalysis
Yurii Halychanskyi,Machine Learning for Science (ML4SCI) Umbrella Organization,Direct Objective Function for Anomaly Detection
Rohitesh Jain,CASTOR,Add/Improve tests in Spoon
FromG,International Catrobat Association,Pocket Paint for Android: Additional brush options
Joshua Nsereko,OpenMRS,Patch Security Vulnerabilities Identified by NCSU
Shantanu Kaushik,Processing Foundation,Adding to p5.js Friendly Error System
Sachin Jindal,KDE Community,Reference Image Improvement
Pau Riera i Portillo,NumFOCUS,[Gridap] Visualizing PDE approximations in Julia with Gridap.jl and Makie.jl
Vinayak Sharma,Python Software Foundation,EOS Icons react library
Masood Kamandy,Processing Foundation,Add Examples and Fix Bugs in Swift Processing
Joykirat Singh,Sugar Labs,MusicBlocks Menus and Palettes
Kira Patton,Debian,Kotlin & Gradle work for Android Tools project
Javed Ali,National Resource for Network Biology (NRNB),Adding analysis report and Direct import from GEO databases to ABioTrans Plus
Nishant Mittal,Joplin,Template Plugin
Samarpan Dutta,Casbin,"Casbin-Server, Rocket-Authz, JSON-Adapter"
Thanoshan M.V.,The Apache Software Foundation,Proofread Oracle DML SQL Definitions for the ShardingSphere Parser
Anirban166,The R Project for Statistical Computing,Improvements to the directlabels package
Pulkit Midha,MediaPipe,MediaPipe Holistic in Unity
Rohit Topi,CERN-HSF,CernVM-FS preload capability
Ayush Prasad,PEcAn Project,Adding ICOS and GEDI data streams to PEcAn
Shivam Agarwal,Chromium,WebStatus Developer Tooling
Callum Brown,Matrix.org,Token Authenticated Registration
pilgrim2308,coala,Gitmate for coala
ranjit shah,Digital Impact Alliance (DIAL) at UN Foundation,Frontend reimplementation using react
anuejn,apertus° Association,GUI for AXIOM Recorder
Veronia Iskandar,Free and Open Source Silicon Foundation,Bring up CV32E40P AI accelerator on FPGA
Utkarsh Shendge,The Palisadoes Foundation,Improved UI design and Multilingual Support
Valerius_B,freifunk,Freifunk Radio Ressource Management with IEEE 802.11v
Özgür Kara,"Department of Biomedical Informatics (BMI), Emory University School of Medicine",Graphical User Interface for OpenAI Gym
Sandeep Saurav,OSGeo - Open Source Geospatial Foundation,Integrating 3D scene builder as WPS services within MapMint administration User Interface
Azamat Akimniyazov,Apertium,Develop a prototype MT system for a strategic language pair uzb->kaa
Jianhui Lu,PostgreSQL,Add monitoring of pg_stat_statements to pg_systat
Ankit kumar,OpenMRS,SMART-on-FHIR
fibersel,The Apache Software Foundation,Add ttl for cassandra snapshots
Rushikesh Tote,Casbin,Lua-Casbin
Aaron Saw Min Sern,OSGeo - Open Source Geospatial Foundation,Parallelization of existing modules for GRASS GIS
Jaikishan Brijwani,Sugar Labs,Sugarizer Security and Availability
AYAN BISWAS,CircuitVerse.org,Integration of CircuitVerse with LMS Platforms
Soumya,Blender Foundation,Display simulation data for rigid bodies and cloth
Pratyush Das,The LLVM Compiler Infrastructure,Integrate custom derivatives of Numerical Computing routines like BLAS and Eigen into Enzyme
Harsh Khilawala,INCF,Measure the Quality of CerebUnit Validation Tests
Piyumal Demotte,INCF,Input/Out Workflows for Active Segmentation Platform
Santhosh_A,KDE Community,Collective Operations over multiple layers/groups
Rishabh Garg,mlpack,Improve Tree Ensemble Support
Daniyal Abbasi,Django Software Foundation,Adding a Redis cache backend to Core
Ayush Tiwari,AOSSIE,Agora-Web
Riccardo Mori,The LLVM Compiler Infrastructure,Use official isl C++ bindings for polly
Julius Hohnerlein,AFLplusplus,Hydra - Hybrid Fuzzing with LibAFL
Mark Nawar,The R Project for Statistical Computing,re2r back on CRAN
Saahil,Python Software Foundation,DFFML: Support Archive Storage for  Models
Ashish-Kumar,OSGeo - Open Source Geospatial Foundation,VRP functionality with VROOM on the database for pgRouting
Suryansh Singh Tomar,AOSSIE,Proposal for Monumento
Christos Margiolis,FreeBSD Project,libmixer(3)
Fahad Nayyar,Java PathFinder,Beneficial region-instantiation for SPF
Sourav singh,OSGeo - Open Source Geospatial Foundation,AR Draw experience in MapMint4me
Aleksandr Gushchin,Xiph.Org Foundation,Improve fast scene detection modes proposal
Lucas Stankus,The Linux Foundation,Proposal for GSoC 2021 IIO Driver: AD7294-2
YADNIK BENDALE,BeagleBoard.org Foundation,Micropython for BeagleConnect Freedom
Srinivas Yadav,STE||AR Group,Add vectorization to par_unseq implementations of Parallel Algorithms
daksh,Cuneiform Digital Library Initiative (CDLI),Digital Library Management
Nazerke Turtayeva,Free and Open Source Silicon Foundation,Multi-level TLB support for Ariane
Akhil,PEcAn Project,Testing Dashboard
Kaushik Sivashankar,OWASP Foundation,Dark Web Exploration for Cyber Threat Analysis
daemon1024,Public Lab,Geographic Features Refinement
Vedant Paranjape,libcamera,Multistream support in GStreamer element
Hasan Faraz Khan,Hydra Ecosystem,General Improvements in hydrus
Aditya Mulgundkar,OpenCV,Create nuget package for OpenCV and OpenCV contrib
Abhijeet Bodas,Zulip,"Work on making Zulip better for large, high traffic organizations."
Oscar Ekholm,GNU Radio,View-Only Mode in GRC
Lut,Elm Tooling,Improve pure Elm markdown parser
Yash-10,Libre Space Foundation,Expand Events Detection
zohaib,OpenStreetMap,element history widget
Tasneem Koushar,Chromium,Automating Puppeteer’s Documentation - Tasneem Koushar
Harshit Sharma,Polypheny,Quality Check and Assurance
Gaelan Steele,QEMU,vhost-user-scsi device in Rust
Kumar Kartikeya Dwivedi,CRIU,Add io_uring support
Mostafa Ashraf Mohamed,Android Graphics Tools Team,Improving support for compute shaders in spirv-fuzz
Shravan Chaudhari,Machine Learning for Science (ML4SCI) Umbrella Organization,Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment
Pavan Joshi,CircuitVerse.org,Internationalization of CircuitVerse Platforms
Mishal Singhai,"Center for Research in Open Source Software, UC Santa Cruz",Object Centric Data Storage PDC_CEPH RADOS INTEGRATION
Vasanth Mani Vasi,The Julia Language,Music Transformer
Chandykunju Alex,TensorFlow,TensorFlow Implementation of Distribution Aware Coordinate Representation for Human Pose Estimation
zyklotomic,Haskell.org,Visualization Libraries for ghc-debug
Joy Liu,CNCF,Develop in-toto-rs (Rust) for integration with rebuilderd
Tejasvi Chebrolu,SageMath,Lazy Formal Power Series
Can Alpay,National Resource for Network Biology (NRNB),PD to AF conversion facility in Newt
Divyank Lunkad,AOSSIE,Agora Android
sh15h4nk,freifunk,Updation of the Json Schema to latest version (2020-12) along with the form generation and validation with the updated schema of the tools
Omer Yacine,Shaka Player,Shaka-Streamer Enhancements
Sushmita,Public Lab,GSoC Proposal 2021: Tag/Topic System Refinements
Yash Varshney,Wikimedia Foundation,Add autocompletion to Page Forms spreadsheet-style display
Tin Chon Chan,Point Cloud Library,Better Voxel Filter
Ricardo Subtil,Godot Engine,Implementing a DAP backend for debugging Godot projects
Dhruv Sondhi,TARDIS SN,Improving TARDIS Simulation Logging Framework
Yunfei Zhao,Red Hen Lab,Gesture temporal detection pipeline for news videos
Trung Ngo Tan,RoboComp,Sign Language Recognition
Simran Kathpalia,FreeBSD Project,Syzkaller improvements
Shivam Pathak,Digital Impact Alliance (DIAL) at UN Foundation,"OONI: Developing Unit, Integration and E2E tests for Probe Desktop apps"
Shardul Semwal,Kodi,Achievement in RetroPlayer
akash konda,Joplin,Real-Time Collaboration on a note
Satyam Kumar,MBDyn,Convergence Criteria
Martin Schulz,Python Software Foundation,mne-python: Enhancing Performance of Signal Browsing using PyQt
Anuj Singhal,MIT App Inventor,Unified Color UI
Laurine Dargaud,Pharo Consortium,Classes and Methods for Spatial Data
Antriksh Misri,Python Software Foundation,Create new user interface widget
sayandip18,Python Software Foundation,Python bindings for TACO compiler
Ashish Patel,Project WikiLoop,Adding Tibetan Calendar in Unicode Common Locale Data Repository (CLDR) and International Components for Unicode (ICU) library
Anuj Lamoria,CHAOSS Project,Automatically identify Contributor Aliases
Junxuan Wu,The Apache Software Foundation,Proposal for cloudstack: cloning a VM
Niklas Schmitz,The Julia Language,Automatic differentiation in density-functional theory
Dimitris Papageorgiou,NumFOCUS,NetworkX - Louvain Community Detection Algorithm
EXTREMOPHILARUM,OWASP Foundation,General Improvements
Hae Dong Lee,The Apache Software Foundation,[Incubator-Nemo] Accurate Task Execution Simulator for Distributed Data Processing
srikavin,strace,Generating Syscall Decoders from Declarative Definitions
Isala Piyarisi,openSUSE Project,Logging Pipeline Plumber for Rancher
Cian Jinks,Blender Foundation,Blender Knife Tool Improvements
Kaaira Gupta,TianoCore,MinPlatform QemuOpenBoardPkg
Aditya Kurkure,Google FHIR SDK,HAPI Struct <> Proto Conversion Tool
Utkarsh A. Mishra,JdeRobot - Universidad Rey Juan Carlos,Behavior Metrics: Modular Framework for Deep and Reinforcement Learning with Multiple-Robots
Haeter,The Honeynet Project,Replacing the core library of Quark-Engine
Nippun Sharma,mlpack,Revamp mlpack bindings
Nga Tran,INCF,Adding more functionality to AnalySim: a data sharing and analysis platform
gorogoroumaru,The Honeynet Project,Make mitmweb’s UI rich and easy to use
Dhruv P,CNCF,Adaptive Load Control and Distributed Load Testing of Envoy Data Planes
Katie Chan,Processing Foundation,p5.js 2021 Showcase: The Love Ethic
srnaveen2k,Digital Impact Alliance (DIAL) at UN Foundation,Circuitpython busio compatibility layer for pslab-python
Meet Shah,The Terasology Foundation,Animal Interaction Improvements in Josharia’s Survival
Bhumit Attarde,KDE Community,Integrating xfstests with KIO FUSE
Tidiane,Django Software Foundation,Wagtail Live
Anoushka Ramesh,INCF,Building a Working Prototype of the AutSPACEs website
Piyush Singariya,CNCF,SMI Support for Multi-Cluster Operations
Anmol Anmol,The Linux Foundation,VirtIO-blk implementation with AGL on Jailhouse
ayoubf,OSGeo - Open Source Geospatial Foundation,Integrating a 'module' to 3d scan an house within MapMint4ME android application.
Pavit Kaur,Debian,Incremental Improvements to Debian’s CI platform
Yongha Hwang,Xfce,Proposals for file transfer improvement and more
Sahil Walke,INCF,Contribute new models to the Brain Dynamics toolbox (bdtoolbox)
Gurudatta Patil,CERN-HSF,Upgrading the Ganga Graphical User Interface
Manikant Rai,Google FHIR SDK,Android FHIR Client
